objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,paris.JPG,,,Geo in Paris,Greg Angeles,1910-10-14,Photos in Europe Trip,travel;Geo,"Paris,France",48.86495317,2.292103365,brother's photos,,Image;StillImage,image/jpeg,,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,paris2.JPG,,,Geo in Paris,Greg Angeles,1910-10-15,Photos in Europe Trip,travel;Geo,"Paris,France",48.86495317,2.292103365,brother's photos,,Image;StillImage,image/jpeg,,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,paris3.JPG,,,Geo in Paris,Greg Angeles,1910-10-16,Photos in Europe Trip,travel;Geo,"Paris,France",48.86495317,2.292103365,brother's photos,,Image;StillImage,image/jpeg,,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,paris4.JPG,,,Geo in Paris,Greg Angeles,1910-10-17,Photos in Europe Trip,travel;Geo,"Paris,France",48.86495317,2.292103365,brother's photos,,Image;StillImage,image/jpeg,,,http://rightsstatements.org/vocab/NoC-US/1.0/
